,prompt,sentence
791,1515,"During puberty, boys experience a greater increase in muscular strength, power, and endurance than do girls. However, it has long been recognized that the contribution of testosterone to these increases in strength and power is weaker than that of estrogen. Since exercise is one of the greatest known sources of both estrogen and testosterone, the critical question is whether or not these increases in strength are actually sex-differentiated. If so, this might be explained by the increased ratio of the testosterone-to-estrogen concentrations in the muscle (70 to 1) observed in postmenopausal men."
797,1515,"During puberty, boys experience a greater increase in muscular strength (both the absolute and relative strength), resulting in greater measures of force output. Each kilogram of stored muscle will be approximately 2-3 times stronger than before puberty. A sample of the world's best sprinting athletes revealed that the maximum power output on a slow, rising step was around 28 watts per kilogram, or an equivalent to approximately the power output of 12+ kg for both boys and girls. It is, however, unclear if these peak power estimates are absolute or relative measurements."
825,1515,"During puberty, boys experience a greater increase in muscular strength, aerobic capacity, and body fatness (6). Similarly, girls achieve higher rates of weight loss during puberty than do boys. The fat stores of most girls tend to increase from adolescence to adulthood (7). However, women tend to regain greater amounts of body fat after weight loss than do men (8). The most striking feature of teenage boys is their greater propensity for weight gain than do teenage girls (9). The role of changes in energy balance during puberty in controlling the magnitude of this change is unclear."
852,1616,"A vaccine is a safe germa normally harmful virus or bacteria. Every time a large population of people starts getting a vaccine it will wipe out smallpox and polio from the planet. That's the reason why diseases can't live in a world with vaccines. This website will help you find out if your child is too young to be vaccinated against smallpox and who has it. Is it safe for young children? As with most medicines and even with vaccinations, kids should be watched closely for any symptoms of a side-effect."
872,1616,"A vaccine is a safe germa normally harmful virus or bacteria that lives in the human body. A vaccine is killed by the body's immune system when it attacks the living antigen. This eliminates the illness. Vaccines are most effective when they are given in the early weeks of life so children get adequate protection. Chemical childhood vaccines (chemicals are injected into the body, are not killed by the immune system and are the same as the foreign proteins in vaccines) can cause permanent damage to the child's nervous system."
874,1616,"A vaccine is a safe germa normally harmful virus or microbe. There are four groups: natural, toxoid, microorganism and vaccine. The natural groups are the vaccine groups. Natural means it is a naturally occurring virus, microbe, mold or fungus that originated in the environment. The toxoid groups are chemicals. Other non-naturally occurring virus or microbe vaccines were designed or recommended for use by the AMA. The toxoid groups are made by animal or human dairies or factories. 10. Vaccines are injected at the time of birth, not in the first few days after birth."
856,1616,"A vaccine is a safe germa normally harmful virus or bacteria, which naturally regulates its own reproduction by transferring from mother to offspring. Their process is largely regulated by the genes inside the virus or bacteria. It is also not unusual for a disease to be in both the mother and the child, the child never getting sick. Of course, vaccines can cause mild allergic reactions in children and adults. This is a natural process and is completely normal. There is no harm from a vaccine."
868,1616,"A vaccine is a safe germa normally harmful virus or bacterium... infectious virus or bacterium that can cause certain diseases that are found in these mice, it is considered an adjuvant, or an adjuvant is a substance that enhances the immunological response. This is done by increasing the quantity of antibody and by possibly inducing the recipient to produce larger amounts of antibody. When used as a vaccine, it is placed directly in the bloodstream of the mice... that means its immune system is further stimulated because it is available right at that time,"""
896,1717,"One of the keys that can often unlock a person+A221s ways for them to become the weirdo they want to be is to simply make the right kinds of human connections. Friends+A221s discussions would often become the place where these connections were made. People find it hard to relate to, and at the end of the day, that's exactly why we go to talk to people about 'things that matter'. A person with a really weird home/hobby/passion can often find value in that person. We see people living their lives in a world full of people who are constantly trying to please, and the fuck out of their friends."
907,1717,"One of the keys that can often unlock a person+A221s eventual inner peace or a start of a dialog that leads to a Tension with A222s inner fears is for the person with A221s to question some very basic metaphysical concepts. A222s, of course, is uninterested in just this and will simply circle back to the security of one's own familiarity, with little room for any new ideas to be included. This is an insidious trap that a person with A221s is particularly fond of falling into and can lead to a process of reinforcement of the person with A221s perceptions of safety and security."
931,1717,"One of the keys that can often unlock a person+A221s friendship is a casual appreciation for the same media that makes the other person happy. Play a series you enjoy, argue or reminisce about it together. Read books on a topic you find interesting. Something as simple as watching ""Anime"" together, just the two of you, works wonders. Or, if that's not your thing, try the episode of ""Hinsdale High School Battle High"" that ran in episode 21. It is a special love story that you can't get anywhere else. 12. Support. When he had no friends, John was constantly overlooked."
917,1717,"One of the keys that can often unlock a person+A221s memory space is the person+A221. We have fixed a few long standing issues with previous versions. There is now support for profiles. You can create your own and edit them through the new AccountSynchronization page. Users will have their own profiles, but they can also share them with others. They can download custom themes from the Artist Page. There is an Artist Search Page which has been enhanced to provide additional information for finding the correct artists. A player button in the upper right-hand corner has been added to the Select Artists window, for quickly switching between artists."
923,1717,"One of the keys that can often unlock a person+A221s ability to take to you the gap in her mind is this ability to rationalize. She cannot truly understand how you feel until she stops rationalizing and starts to feel that her feelings are valid. And that's where you can learn to help her out. How do you stop rationalizing? It doesn't happen overnight, but it does happen. It can be hard to do, and if you don't try, it'll be that much harder. To help you put this ability to use, here are a couple steps to put you in a better place to help her."
988,1818,"The Civilian Conservation Corps was a group of young men who worked in the rural areas of the US. They spent six weeks on a farm, learning to work with the land. One of their tasks was to cultivate the land to supply wild game for the hounds. The students suffered from malnutrition, they worked all day, and were responsible for the health of the hunters' hounds. This particularly insulted the hunters, so they took some of the students hostage and starved them to death. The well-known stories of this cruelty led to reform of the Civilian Conservation Corps program."
982,1818,"The Civilian Conservation Corps was a group of young men and women who agreed to work at their local government office, shop, or for the Red Cross, in exchange for wages in the form of subsidized food, clothing, housing, and medical care. The volunteers had to be between 17 and 40 and have a high school diploma or GED. They were recruited in their hometowns. According to a 2010 article in the New Yorker, the Washington D.C. corps, which was the oldest in the country at the time, provided 200,000 jobs during its short existence."
950,1818,"The Civilian Conservation Corps was a group of young men who got their work experience with the Civilian Conservation Corps at the Chicago post office. The CCC also provided unemployment and educational training to young men who had been excluded from the regular work force. The term CCC was short for Civilian Conservation Corps, and it came from the fact that the participants had not attended a public school. In the early 1930s, if you couldn't find a job, it was helpful if you could work for a government agency. President Herbert Hoover created the CCC for two reasons."
969,1818,"The Civilian Conservation Corps was a group of young men who designed, built, and operated Hoover Dam. The Corps played a key role in the construction of the dam, which was the greatest construction project in the history of the United States. Their life, both during and after the project, was filled with great struggle and tragedy. For this reason, while they were soldiers they were never as ""civilian"" as they could have been. Do these men deserve to be memorialized as Civilian Conservation Corps? First, it should be noted that the men did not join the CCC."
941,1818,"The Civilian Conservation Corps was a group of young men and women who were used by the U.S. government for the most minor of jobs. It would be the largest peacetime task force in the history of the country, and cost the country over $2 billion. The original intent of the Civilian Conservation Corps was to rebuild urban infrastructure and conserve the environment in the United States. However, there were many missions that the CCC worked on after that, like digging canals and preserving ecosystems, and the world wide famine in Africa which cost the U."
1019,1919,"Books Through Bars advertises itself in magazines and pamphlets read by aspiring rappers. Five years ago, in the process of making a second album, Roa took a gig as an interior designer, which he completed within two months. He began selling photographs, portraits, and paintings of himself to provide income for himself and the couple's two children. Their young daughter, Gladys, who likes to play the violin and who helps her dad when she gets a spark of genius in her fingers, gets encouragement from her parents, who say, ""You know when you're that young, there's nothing for you but to do it."
1030,1919,"Books Through Bars advertises itself in magazines and pamphlets read by young people. A huge new supplement to BEAUTY & SKIN, designed to appeal to the same groups, is also released, aimed at 18 to 30-year-olds. Are we having a fashion revolution? The poster for Skins: The Movie. Credit: Next Entertainment Too early to tell. In the Seventies, a fashion revolution, as historian Luke Collier calls it, was getting underway. Bohemian designers were experimenting with paisley, which they had never seen worn on a woman's body, but which had previously been associated with men, a status symbol in feminine terms."
998,1919,"Books Through Bars advertises itself in magazines and pamphlets read by those looking for an alternative to mainstream literature and the light-hearted nature of the campaign has won the publication great attention. ""We want our children to have a space to build their imaginations,"" says Jordan, a mother from Dublin. ""It's not just about literature or movies, it's about the ideas we want them to develop. We can't leave children behind, we have to help them move forward."" This project is working in tandem with an Irish social enterprise to provide a quality education. ""Teachers and parents alike have been extremely supportive,"""
1041,1919,"Books Through Bars advertises itself in magazines and pamphlets read by everyone including students and sailors. When Star Trek's Herbert Fingal provided a promo copy of his poster ""Back To Planet"" in the March 30, 1974 issue of Fine Arts Book Review, it was printed on paper matching the size of a poster designed for the 1975 Fine Arts Book Fair, and rather than reprinting it, he did an airbrush job. [1] In August of 1983, Taber, in conjunction with Robert Silverberg, a Young Adult Literature scholar from UC San Diego, co-wrote a pamphlet, filled with poetry, called ""American Education: Do's And Dont's"""
1026,1919,"Books Through Bars advertises itself in magazines and pamphlets read in church, and in the pulpits and meetings of college organizations. It is particularly well-known in Canada and the United States. Since 1960 the Church has been involved with the Brooklyn Project on Mental Retardation. This site provides a comprehensive, chronological summary of the work of the Church in the social, professional, scientific, religious, and spiritual dimensions of the disabled. For those who are interested in the ongoing work of the Church, the Youth of God's International Association of Disability, currently consists of ministers and missionaries from across the world."
1071,2020,"Americans never elected Gerald R. Ford president or even vice president. I don't see this as as if we can dismiss my presidential vote as illegitimate or any vote for me, but the temptation is always there to do so,"" he wrote. Despite voting ""yes"" on the AHCA, Polis said that he feels the party is becoming more extreme in its conservative ideology. ""Now that my old core of moderate Democrats have abandoned their principles and come together in support of what I regard as a very right wing health care bill, I must go on record saying that this is unacceptable,"""
1059,2020,"Americans never elected Gerald R. Ford president or even vice president, (3) as a way of calling out their opponents on their ""continued dependence on corporate welfare from Washington"", (4) to make this point clear, they showed over and over again that they could be bothered to have any sort of conference at all, let alone one focused on, as one Michigan speech described it, ""the colossal private inflation of student loan debt on the American people"", (5) the GOP caucus enjoyed such highly personalized, energizing encounters with their presidential opponent, that even they began to quip as the episode progressed, that """
1052,2020,"Americans never elected Gerald R. Ford president or even vice president. They appointed the first African American to any of the office of vice president in the nation's history. Let's take a moment to think about what this means. It means that after all of our efforts to defeat Senator Kennedy and his party in the 1970s, we finally ended up with a man who reflected our values, and who followed our agenda. It means that a Republican in the White House and a Republican in the Senate remained united on the main issues which still confront America taxes and welfare."
1073,2020,"Americans never elected Gerald R. Ford president or even vice president. With its remarkable success, Nixon got the nation's attention and positioned himself as the nation's new leader. As far back as 1948, Harold Macmillan established himself as the strong-man figure of Canada, and it is likely that many Canadians wanted a similar leader for the United States. In more recent times, with Watergate and other scandals, Americans put up a critical fight against a president they did not know. They succeeded in getting Richard Nixon impeached. No president in American history has been able to deal with the scandals and setbacks of Watergate."
1070,2020,"Americans never elected Gerald R. Ford president or even vice president. And yetand stillthose six years of the Ford presidency, unlike his time as President Reagan's ""star"" adviser, were mostly well-spent. And oftenunlike Ronald Reagan Ford never sold himself as a conventional or have-it-all ""maverick."" He fought for a balanced budget; he presided over economic growth; he embraced campaign finance reform, protecting the constitutionally based individual's right to engage in politics and financing political parties to his liking; he sought peace in the Middle East; he voted against illegal wars; he supported environmental protection and cut back the government in other important ways."
1119,2121,"Solar power is simply the use of sunlight to create electricity. One might want to point out that this can't be done without killing the Earth's ability to support life on the planet. Right now, solar power's largest source of subsidies is the photovoltaic industry's use of the American tax code to promote wind power instead of solar power. The government's electricity tax credit is widely believed to have spurred the development of photovoltaics as well as to the industry's reliance on federal research and development."
1105,2121,"Solar power is simply the use of sunlight to create a device called a photovoltaic cell (PV) the subject of our recent slideshow article entitled, ""The Most Interesting Photovoltaic Cells."" Photovoltaic cells have one or more light-sensitive semiconductor backbones, and gain their electricity by converting light energy to a magnetic field that can be captured by a circuit or power generator. For use in civilian solar power projects, photovoltaic cells are made from a silicon-based material called gallium arsenide, or GaAs."
1139,2121,"Solar power is simply the use of sunlight to create energy and heat to operate the electronics inside devices. Solar energy is what makes your computer light up, your home's light up, and your LEDs work. There are three types of solar energy: solar power with direct (or direct current), solar power with alternating current, and solar power with magnetically driven, or photovoltaic (PV). Direct solar power uses the sun's rays to heat the energy stored in a battery to power an electronic device."
1113,2121,"Solar power is simply the use of sunlight to create power. On a sunny day, power from sunlight produced by a solar power plant can be used to pump water into a reservoir, and in the nighttime, power can be used to run lights and other appliances. Solar energy can be particularly useful for powering computers and making other electronic devices and equipment. Solar plants convert the sun's rays into energy by harnessing the energy from the sun's spectrum. Solar panels are the visible part of the solar power system."
1099,2121,"Solar power is simply the use of sunlight to create electricity. Solar panels are units of electrical energy storage. Since it is an energy storage device, it can easily be used to transmit electricity wirelessly. Helium is a gas (element) that is released during the combustion of carbon, such as in a car engine, to make gasoline and diesel fuel. Gasoline is used as fuel in a car engine to generate power for vehicle operations. It is an energy storage device."
1166,2222,"The food of Thailand is very delicious. One of the most sought after dishes in Thailand is the khao krat meal. That is the staple for all of us from the street vendors. Other things that are popular include rat kueh, nattou, sticky rice, and grub. Here are some of the most popular and you should check your vendors before heading out to eat. Rat Khao Khroh There is nothing like the flavor of the rat khao khroh. It is described as ""sweet and sour with the fishy smell"" and """
1160,2222,"The food of Thailand is very delicious. One of the best places to eat is at the bar and restaurant known as the Sokon Racha, located in Ratchadamnoen park. And they will give you good tips about eating in Thailand. Of course they offer good food at discount price, but also they have a great selection of gourmet food. The best thing about Thai food is that it is very affordable. You don't need to spend a lot of money to get good and nourishing meal. Here are the Top 5 Thai restaurants for you."
1202,2222,"The food of Thailand is very delicious. One of the most authentic and also the cheapest is this Pad Kao. It is served with pineapple, basil, green chili and with more vegetables to finish. 2. Bo-Kaeng: Thai-Chinese-Thai-Guangsi Fish (Golden Roe) Golden Roe is the big fish that most people know in Thailand as Tannhaai. It is what Thai people call ""Huang Xu"" or Golden Roe fish. Golden Roe is a huge fish that can be around 3 meters long. Its eggs are white and tastes a little salty."
1179,2222,"The food of Thailand is very delicious. One of the best areas to see Thai food is either Bangkok or Chiang Mai. You can find Thai food very easily throughout Bangkok and Chiang Mai. Thai food is very simple. There are many types of Thai food. You can order large, medium, small, and vegetarian versions. Choose based on what you like. Below is a list of the types of Thai food to visit while in Thailand: Chicken (Khao Soi), Dragon (Chai Soi), Beef (Khao Nee), Pork (Khao Puak), Vegetarian (Gai Than)."
1203,2222,"The food of Thailand is very delicious. One of the great treats is the noodles called ""reckalok"". It's like Japanese noodle soup, with Thai basil and shredded shrimp. The noodles are thin and lean but have a nice good noodle taste and are great to dip your noodles in. Having a nice meal with your family, taking a lovely walk, listening to nice music, reading a great book or visiting on holidays are great memories that only some people can remember, and that is why this post is for you."
1210,2323,"The atmosphere surrounds the Earth and holds the air we breathe. It is made up mostly of nitrogen, but can be enriched with various gases like oxygen, argon and neon. These gases change the composition of the atmosphere, causing it to burn or freeze or turn into the charged particles (such as ozone, the breathable gas, or cosmic rays) that pervade the outer solar system. Thanks to these changes in the inner and outer reaches of the atmosphere, we can think of the outer regions as being inhospitable to life."
1230,2323,"The atmosphere surrounds the Earth and holds the air we breathe. Without the Sun, Earth would not be able to sustain life. Kamath was born on the Indian subcontinent and became the highest paid scientist. ""I am pleased to dedicate this prize to my deep admiration of Dr. Robert L. Forward and for his contribution to our understanding of complex systems and how they interact,"" Farook said. Farook is also the winner of the 2015 Nobel Prize in Chemistry. He won the award in memory of Alfred Nobel."
1242,2323,"The atmosphere surrounds the Earth and holds the air we breathe. With its remarkable chemistry, the atmosphere provides the water for plant life, and the heat it holds. The atmosphere contains several kinds of molecules. Water molecules hold the air, and other molecules provide the other essentials, such as ozone and carbon dioxide. When the sun's energy heats these molecules and pushes them from the Sun to the Earth's surface, the heat from the Sun makes the air rise and spread the warmth."
1214,2323,"The atmosphere surrounds the Earth and holds the air we breathe. We can smell certain particular odours. Air can also be compressed and blown around and through the Earth. Earth's atmosphere is continually changing with the influence of the Sun, and gases can escape and enter the atmosphere. Do odours exist? The three main sources of odours are air, water and clouds. Earth's atmosphere is thickest in summer when we live in temperate zones (eg. in the UK and northern Europe)."
1259,2323,"The atmosphere surrounds the Earth and holds the air we breathe and the liquid in our oceans. Each of these elements plays a crucial role in the global climate. However, one of the largest climate shifts in our recent history the Little Ice Age (or 'little ice age') was caused by the balance between the rising and falling levels of carbon dioxide in the atmosphere. When a large accumulation of carbon dioxide forms in the atmosphere, the Earth's surface heats up, while at the same time the planet cools down."
1270,2424,"The ball game, called pok-a-tok, was sacred to the Maya. Over the years, archaeologists have uncovered piles of stones that were used to determine who will win the game. ""The whole thing is organized in exactly the way that you would expect a medieval ball game to be,"" said Nelson. They found that in the dozen-plus stone blocks used to break the game, people etched crosshatching into them perhaps to indicate the winner. Then they used the pieces to make face-shaped pictures that they kept in jars for eternity. ""The beer is a symbol of victory, so that's probably what's happening here. I'm just speculating,"""
1276,2424,"The ball game, called pok-a-tok, was sacred to the Maya. It was played when children descended into a chacab (a ceremonial pool) on one side of the floor and children on the other. Children would scoop from their assigned region and dig holes, the ball would then roll down the chacab and out into the sacred pool on the other side of the room. The baller could score by hitting the ball into the chacab. The child could run out, chase the ball, chase the baller, etc. However, as the pok-a-tok grew larger, the child would have to run out to catch it."
1277,2424,"The ball game, called pok-a-tok, was sacred to the Maya. The players believed it could only be won by passing five holy cards. You must first win three games, with the goal to pass five. The winning player still had to go through the rituals at the beginning of the game, and pass five cards to his opponent. But the first five, and last five, of the game were the most important. It was a secret test of the player's honesty, and was meant to show the opponent his own dishonesty. Here's the first game. The ball is seven foot long, and one foot is five feet."
1281,2424,"The ball game, called pok-a-tok, was sacred to the Maya. It was originally played on large trees, on hillsides and a few toads drifted through the ground. You could smell them while trying to hit the ball with a high brick - just like a toad dipped into some earth. The ball was bounced from one to the other, and it bounced into a pipe, a bucket or a tree trunk. Everyone knew the game - it is played with groups of kids on one side, a monkey on the other side, which would swing the ball to get it closer."
1286,2424,"The ball game, called pok-a-tok, was sacred to the Maya. The drums, called mehanas, were like thunder. My grandparents knew everything there was to know about the game, and they were dying to take me to see it. My mom packed me off to the Flying V museum, which I had never been to. It was gigantic: a field with seven infields, each with a fan zone, glass breakers, a pitcher's mound, and two towering walls topped with giant multicolored-wood panels. A patchwork of American flags and stars flew from the mast of one of the museum's twin giant-conical clouds."
1338,2525,"At first, the military did not want to let civilians board these planes. They had to be escorted by security forces,"" said deputy Israeli ambassador Dan Arno, adding that this situation had been eased by the Israelis' decision to release some of the detainees. Mr Arno said the Israeli president's office had received the group of asylum seekers at his apartment and had moved them on to a police van. They were driven to Ramallah for questioning, where they were freed after giving statements. ""We knew what to expect."
1331,2525,"At first, the military did not want to let civilians leave the city. Initially, the army sent civilian experts and started using the underground tunnels. The military knew this way was more vulnerable because with the rebels only a few kilometers away, they feared that they would attack once the civilian experts were gone. Once the tunnel workers were out of the city, the government was able to declare the city safe. During a discussion about looting, Garing Abed explained that he and his family had lived in the city for 18 years."
1371,2525,"At first, the military did not want to let civilians go there. ""They didn't want us to go,"" Sanjeev says. But the climate created by the earthquake, he says, made the opposite argument. ""The military said, if we don't send you, this is the government's responsibility. We can't just let people go because of fear,"" he says. ""Now they don't say that anymore. They've come with a new argument."" On June 8, the Indian government quietly lifted its ban on reporting to the quake zone, sparking a flood of people."
1351,2525,"At first, the military did not want to let civilians work on the reconstruction of Gaza. Local activists said that this decision was in line with Israeli policies to destroy Gaza as a whole, rather than focus on rebuilding the most damaged areas. Notably, humanitarian aid groups, including UNRWA, had demanded that Israel allow NGOs to aid in reconstruction before engaging in any reconstruction work in Gaza. Nizar Ayyoub, who is a lawyer with Al Mezan Center for Human Rights, said that if Israeli soldiers also benefit from the work, this puts all workers in jeopardy."
1366,2525,"At first, the military did not want to let civilians participate in the operation. But the war turned to a civil war with anti-government forces and Russia killing about 2,000 civilians. The Ukrainians stood up, overthrew the president and the power struggles in parliament split the pro-Russia party. The Ukrainians won, the US and EU lent them $3 billion and sanctions against Russia were implemented. ""Everybody in this country became united, in terms of our desire to have the president have his powers back and to get peace back,"""
1395,2626,"Pro surfer Pat Gudauskas of San Clemente, Calif., has just rented his new dry dock to crew up for a spring ride in San Francisco Bay. He is one of a number of lucky players that have won spots to ride out the storms from their local jetty to May, the magical time of year for paddlers. You can jump into their group at www.chrispadiazal.com/drownstow. But for now, passengers need to get out of the water to count seats at the dock to determine whether they are accepted. ""We have to put them in a pretty big line,"""
1421,2626,"Pro surfer Pat Gudauskas of San Clemente, Calif., has just released an album titled Surf's Up called follow-up of 2013's Surf's Up. The son of Dean Gudauskas and star of the Emmy-winning Netflix series Narcos, the musician's next release is a direct follow-up to Surf's Up, which was the recipient of a 2015 Grammy for Best Rap Album. Gudauskas discusses the making of the second Surf's Up album and its release, as well as the finer points of garnering help from prominent producers like Wayne Kramer, Skrillex, DJ Mustard and more."
1434,2626,"Pro surfer Pat Gudauskas of San Clemente, Calif., has just been in many dramatic moments throughout his surfing career. In January 2006, after taking a nasty spill from his board during a race, he fell to the water and tore his Achilles tendon. Despite amputation, he won the 2000 Red Bull Pro Tour. But the injury did not deter Pat, who returned to competitive surfing in 2009. Gudauskas recently wrapped up a European tour that included stops at The Pro-Wall, in Norfolk, Va., and Wild Horse Pass, in southwestern Colorado, on the first official American World Tour."
1433,2626,"Pro surfer Pat Gudauskas of San Clemente, Calif., has just tied the first Hawaiian wave of his career, a 9-foot-tall, 415-pound wave known as the ""Psycho Hurricane,"" off of Coronado's South Bay Beach, which will soon feature a new run of surf. While the number of waves on the North Shore is dwindling, he says that waves in the Coronado area remain plentiful, a testament to the way the ocean still rewards strong waves and memorable moments. ""The thing with Coronado is that it is kind of like a small Manta Ray,"" Gudauskas says. """
1385,2626,"Pro surfer Pat Gudauskas of San Clemente, Calif., has just recorded the first run in his signature deep-end rippers, the 187A and 191A. For comparison, the average distance for pat's 188s are (in seconds) 8.55, 8.42 and 8.48. Pat's 191s are 8.57, 8.76 and 8.70. The 212s, that work these lengths, are not commercially available at this time. Gudauskas is not trying to be an anomaly. He's using specs that essentially match those of the PC-17 longboard skateboard. His exact measurements are listed below. Diameter: 13.5"" Length: 20"" Diameter at heel: 1.5"" Diameter at toe: 2."
1487,2727,"As the bright sun began to stream through her window, she spotted her first petite fox. ""I'm pretty sure that's how you are in the books,"" she said aloud to Ruby, then turned to the hero. ""So where's your fellow Huntress?"" She moved to lift Ruby's head, but was stopped by Weiss's grip on the back of her cloak. ""There's no point, Weiss, Ruby will tell us. We have time to figure out what to do."" ""You're our main priority, believe me. Ruby will be okay, and we don't want anyone else getting hurt."
1438,2727,"As the bright sun began to stream through her window, the fair-skinned girl began to tremble. Her eyes swelled and widened. She tugged her long dark hair, and her delicate shoulders shook with fear. The whole house shook with the startled cry. Then suddenly the sound stopped and the neighbors asked what had happened. ""I said to the child,"" said the voice from behind the bushes, ""how dare you look at me so darkly, how dare you laugh at me?"" There was a silence, and then the voice in the bush said """
1442,2727,"As the bright sun began to stream through her window, she dreamed of a middle-aged woman in a peach-colored dress who was sitting on a bed and reading. She started to cry, feeling ""pleased, calm, and content"" and going off to have ""a wonderful dream."" The next night she started to cry again, but this time her dreams were very different. She dreamed about a young man she didn't know who said, ""Your mother told me that you loved me in your dream last night, and that you love me too now."
1497,2727,"As the bright sun began to stream through her window, Nora couldn't help but stop and admire herself. A young, black-haired girl, easy to recognize as the girlfriend of one of her friends, for once, wasn't what she normally preferred to see in a reflection, but she couldn't deny the looks upon her face. As she breathed a little sigh of satisfaction, the heiress began her self-introduction. ""My name is Nora Valkyrie,"" she began, ""And I'm here to join the rest of team RWBY."" ""R-R-RWBY?"" ""I'll explain later,"" Nora replied before she kept talking."
1483,2727,"As the bright sun began to stream through her window, it revealed a rather unassuming situation, yet very typical of her small community: she and her son were inside the house, reading, listening to music and talking. For the time being, it was otherwise uneventful, except for a little girl hovering on her arm, watching them. But just as soon as her father turned back from his story, the little girl plopped onto the couch and said ""no, I won't."" ""Whoa!"" the father exclaimed in surprise. ""You just showed me your perfect new cleavage!"
1559,2828,"It was a light, spring Sunday in Brooklyn, New York. I felt myself slowly turning the pages. For maybe a week, I had forgotten that I was in a comic. I had read over 100,000 comics. I read a comic today, and it wasn't enough to be put in a comic. I like the first page in that comic because it reminds me of how fun comics were to read when I was a kid. There's this sadness at the end of the story, and it reminded me of the time I was told to shut up. The bad guy says, """
1528,2828,"It was a light, spring Sunday in Brooklyn, New York. I was sitting on the stoop of an apartment building on the South Side, looking out over a rainy Gowanus Canal. While that scene might seem clich, it is one of those moments in our recent history where the history of the national consciousness is forced into the obscure streets and alleys of the imagination. Today I was looking at new series that would come out in 2013, entitled The Death of Pop: The Best of Rock to Inform and Inspire, which would explore the progressive icons of rock from Elvis Presley to David Bowie to Janis Joplin."
1508,2828,"It was a light, spring Sunday in Brooklyn, New York. I had been struggling to get in shape for about a week, so when I met Carl and found him friendly, friendly, friendly I asked him if he would let me give a class for a few hours on Monday and on Tuesday and Wednesday and on Thursday. He said, ""Hey, come on by tomorrow, the place isn't booked, let me check it out."" I said, ""I'll be here if you need me. And maybe we'll see each other there."" So I went. And I had so many years of drawing that I made very good progress."
1551,2828,"It was a light, spring Sunday in Brooklyn, New York. We had arrived at the stadium earlier than usual, so, after getting our tickets checked, we walked in to the narrow concourse of the Nassau Veterans Memorial Coliseum, the (new) home of the Islanders and the long-suffering state of the football franchise that would soon become theirs. The light and the structure were so familiar. So familiar that, when we stood in the shadows and watched the Washington Redskins play the Baltimore Colts, we caught the strain in the way they moved together, as if as one organism."
1536,2828,"It was a light, spring Sunday in Brooklyn, New York. This wasn't a church service, nor was it a mass meeting. It was an ""Assurance,"" a bit of ""spiritual"" theater that combined the Bible-study features of a ""lecture"" with the worship-style elements of a ""service."" About two dozen men, most in their twenties, sat in the back of a small theater at First United Methodist Church on 109th Street. If you think a ""solicitation"" is when a church body sponsors a ""day of worship"" or an ""evening of meditation,"" you may have been misled. This was more akin to a religious school."
1614,2929,"Reaching into the backseat, Joe popped open the door opposite the passenger door, and slid a cellophane wrap over everything. Inside the car, a metal cup mounted on a small pedestal held the radio on. Yells could be heard from beyond the passengers' seats. The driver didn't hear the voices either, as the radio was set to a taunting channel. After a few minutes, Joe scrolled down through the radio's playlist. He had the tunes all memorized, so there was no need for him to glance at the car's audio."
1590,2929,"Reaching into the backseat, Joe popped open the door opposite of the truck he was sitting in. The room was still dark. Looking around he noted his jacket hanging from the ceiling, the clothes he was wearing were in a puddle in the backseat, and nothing on the floor. What had happened? Joe didn't know, it wasn't like him to not be able to remember, but he couldn't remember a thing. Screaming in panic, the teenager fell to his knees with the brick at his side and dropped into it."
1602,2929,"Reaching into the backseat, Joe popped open the door opposite of the driver and began yanking on the collar of his green cargo pants. ""Joe, I'm not like this,"" I moaned, my eyes straining to make out anything in his cargo pants besides my size 10T. He grunted, and his hands slid into his jeans, one of them slipping inside of me. He was quiet for a few moments, his breathing light and slow. Finally, he drew back, smirking at me. ""We aren't giving up, Sam,"""
1624,2929,"Reaching into the backseat, Joe popped open the door opposite Sam and pushed in the velvet ropes binding her wrists to the seats. Sam quickly drew back and looked at Joe as he reached under the backseat for what seemed like the size of an old purse. He reached into the small dark box. ""Holy shit,"" he whispered, eyes wide. ""Oh my god."" Joe pulled out a paper cup. ""Here,"" he said. He had only one thing on his mind. ""It's this, a towel."
1598,2929,"Reaching into the backseat, Joe popped open the door opposite of him. The whirr of the engine slowly shook the car. He pushed down the trunk and removed a cabinet. A metal-backed black metal box sat in the center of the room. A multicolored lamp sat between them. A skeleton slowly moved in and out of the shadows to complete the moving-scene. ""I found a monster I want to study,"" Joe said as he pulled the ignition. The door of the cabinet opened and Jack entered."
1659,3030,"It had been like this ever since the end of World War II and all through the Cold War. There was almost constant conflict between Russia and the West, even though there were internal political disagreements and other antagonisms. These two nuclear superpowers played out a lot of very destabilizing and threatening scenarios. But then, in 1991, both of them started negotiating an arms control treaty, the Intermediate-Range Nuclear Forces (INF) treaty, and all of a sudden we were able to start living in peace and quiet in our own countries."
1637,3030,"It had been like this ever since the end of their engagement, and it would be weird if he had not started using her now. So they went to buy their wedding rings. What Chen Chang Sheng had purchased for them on that night was not a precious gemstone. He had bought them some high-grade gold, and added silver from the treasury to make it more affordable. Liu Han Yu pulled him by the hand, walking him to the quince tree, where the tea was grown."
